shorten: shortening shorten
slave: slave slaving
dance: dancing dance
hoof: hoof hoofed
surpass: surpassing surpass
withhold: withhold withheld
teen: teen teens
calm: calm calmer
wrestle: wrestle wrestling
marble: marble marbled
impose: imposing impose
hire: hire hired
wage: wages wage
plunge: plunge plunging
pay: pay paying
grade: grading grade
adventure: adventuress adventure
breathe: breathing breathe
gamble: gamble gambling
relax: relaxed relax
northeastward: northeastward northeastwards
revive: revive reviving
overlie: overlying overlain
glide: gliding glide
injure: injured injure
bomb: bomb bombed
perish: perish perished
southward: southward southwards
mourn: mourning mourn
boom: boom booming
rib: ribbed rib
instruct: instructed instruct
qualify: qualified qualify
dash: dash dashed
sled: sled sledding
tunnel: tunneling tunnel
bottle: bottle bottled
afternoon: afternoons afternoon
endure: endure enduring
cry: crying cry
enjoy: enjoy enjoying
tall: taller tall
cord: corded cord
bid: bid bidding
plastic: plastic plastics
lament: lament lamented
wait: waiting wait
silence: silenced silence
headquarter: headquarter headquarters
northward: northwards northward
subordinate: subordinate subordinating
want: wanting want
strand: stranding strand
dream: dream dreamt
bless: blessed blessing
fee: fee feed
rank: ranked rank
receipt: receipts receipt
quake: quake quaking
devastate: devastate devastating
session: session sessions
profess: professed profess
degrade: degraded degrading
romance: romancing romance
saddle: saddle saddled
ceramic: ceramic ceramics
charter: charter chartered
asset: assets asset
decorate: decorated decorate
dissent: dissent dissenting
thrive: thrive thriving
market: marketing market
usurp: usurp usurping
worsen: worsen worsening
loom: looming loom
pocket: pocket pocketed
grip: gripping grip
trade: trade trading
discourage: discouraging discourage
drain: drained drain
farm: farm farming
threaten: threatening threaten
bitter: bitter bitters
labor: laboring labor
crown: crowned crown
transcend: transcend transcending
cock: cock cocking
spike: spiked spike
railroad: railroading railroad
pierce: pierce piercing
be: bes bees
nail: nailing nail
rumble: rumble rumbling
drill: drill drilling
tag: tag tagged
heave: hove heaving
rupture: ruptured rupture
shelter: shelter sheltered
terrace: terracing terrace
ash: ashes ash
ripe: ripe riper
nourish: nourish nourishing
tower: tower towering
tone: tone toned
silt: silting silt
lift: lift lifting
wy: wyss wy
educate: educated educate
undermine: undermining undermine
sequester: sequestered sequester
hang: hung hanging
retreat: retreating retreat
enforce: enforced enforce
cop: cop coping
strengthen: strengthening strengthen
skip: skip skipping
sprawl: sprawl sprawling
buff: buffer buff
creep: creeping creep
communicate: communicating communicate
suckle: suckling suckle
tax: tax taxed
curb: curb curbing
quarry: quarry quarrying
wing: wing winged
fingerprint: fingerprinting fingerprint
dignify: dignified dignify
curriculum: curriculum curricula
chop: chop chopping
embrace: embrace embracing
snail: snails snail
beach: beached beach
beau: beaux beau
larva: larva larvae
genus: genera genus
discharge: discharging discharge
stunt: stunt stunted
carolus: carolus caroli
oasis: oasis oases
reform: reformed reform
thread: threaded thread
rub: rubbing rub
devote: devoted devote
skate: skating skate
flock: flock flocking
borrow: borrowing borrow
seize: seizing seize
adjoin: adjoined adjoining
crest: crest crested
smash: smash smashing
succeed: succeeding succeed
fetch: fetched fetch
moor: mooring moor
turbine: turbines turbine
graduate: graduated graduate
spew: spew spewing
hum: hum humming
hug: hug hugging
pu: pu pus
curtail: curtailed curtail
proclaim: proclaim proclaiming
diversify: diversified diversify
corn: corning corn
desire: desired desire
temper: tempered temper
truck: trucks truck
torture: tortured torture
herd: herding herd
repel: repel repelling
check: check checked
potato: potato potatoes
bus: bus buss
soar: soar soaring
fork: forked fork
lodge: lodging lodge
terminus: terminus termini
gift: gift gifted
bark: barking bark
graze: graze grazing
consult: consult consulting
advise: advise advised
bee: bee bees
roar: roar roaring
sponge: sponged sponge
calf: calf calves
fascinate: fascinating fascinated
unearth: unearthed unearth
grunt: grunting grunt
dye: dyeing dye
conquer: conquering conquer
semi: semi semis
shearwater: shearwaters shearwater
chap: chap chaped
neck: necking neck
fruit: fruit fruiting
abut: abut abutting
sprout: sprouting sprout
spout: spout spouting
rebuild: rebuilt rebuild
oversee: overseen oversee
cull: cull culling
whirl: whirling whirl
sour: sour soured
herbarium: herbarium herbaria
flourish: flourish flourishing
commute: commute commuting
can: canning canned
pot: potted pot
subside: subside subsiding
trumpet: trumpeting trumpet
forbid: forbade forbidden
pound: pounding pound
hack: hack hacking
buy: bought buy
marry: marrying married
concert: concerted concert
disable: disabled disable
dissolve: dissolving dissolve
aquarium: aquaria aquarium
pour: pour pouring
salty: saltier salty
phylum: phylum phyla
claw: clawed claw
spice: spice spiced
dump: dump dumping
ruin: ruined ruin
clap: clapping clap
crawl: crawl crawling
disguise: disguising disguise
hiss: hiss hissing
cage: caged cage
oxidize: oxidizing oxidize
vein: veined vein
rent: rent rented
lap: lapping lap
nominate: nominated nominate
dull: dull duller
raven: raven ravens
lend: lend lent
plat: plated plat
dislocate: dislocated dislocate
lumber: lumber lumbering
taxi: taxis taxi
divert: divert diverting
underlay: underlay underlaid
forgive: forgive forgiving
mill: milled mill
intercept: intercept intercepting
stir: stir stirring
pet: pet petted
auspex: auspices auspex
gild: gilt gilded
sear: sear searing
erase: erased erase
roam: roam roaming
brand: brand branded
enlist: enlist enlisted
armor: armor armored
warrant: warranted warrant
doom: doom dooms
flush: flush flushing
spear: spear spearing
muscle: muscled muscle
locus: loci locus
flute: flute fluted
leech: leech leeches
plow: plow plowing
canoe: canoe canoeing
needle: needle needles
harden: harden hardening
stalk: stalking stalk
pinna: pinna pinnae
purr: purring purr
augment: augmented augment
conceal: concealed conceal
howl: howling howl
vertebra: vertebra vertebrae
greet: greeting greet
spay: spaying spay
serum: serum sera
growl: growling growl
nap: napping nap
stimulus: stimuli stimulus
pus: puss pus
tame: tamer tame
scissor: scissors scissor
uterus: uteri uterus
ferret: ferreting ferret
fore: forester fore
jaw: jawed jaw
cure: cure curing
papilla: papillae papilla
spectacle: spectacles spectacle
partake: partook partake
metamorphosis: metamorphoses metamorphosis
ganglion: ganglia ganglion
ermine: ermines ermine
puncture: punctured puncture
flee: flee fled
puff: puff puffing
spit: spit spitting
vomit: vomit vomiting
