flower: flower flowering
revive: revive reviving
pose: pose posing
support: support supporting
balloon: ballooning balloon
ani: ani anis
genus: genus genera
tax: tax taxed
transform: transform transforming
hand: hand handed
associate: associated associate
red: red redder
bottom: bottom bottoming
intrigue: intrigue intriguing
hoof: hoofed hoof
dump: dump dumping
compress: compress compressed
vesper: vespers vesper
enjoy: enjoying enjoy
water: watering water
accord: according accord
din: din dining
concentrate: concentrated concentrate
cure: curing cure
glare: glaring glare
tall: taller tall
air: airing air
romance: romancing romance
decompose: decompose decomposed
salty: saltier salty
borrow: borrowing borrow
accomplish: accomplished accomplish
follow: following follow
gen: gen gens
sour: sour soured
divine: diviner divine
match: match matching
calf: calf calves
consult: consult consulting
gather: gather gathering
delay: delaying delay
lumber: lumbering lumber
extinguish: extinguish extinguished
proclaim: proclaiming proclaim
herd: herd herding
transcend: transcending transcend
asset: asset assets
pour: pouring pour
sprawl: sprawl sprawling
notch: notch notched
generate: generating generate
intoxicate: intoxicate intoxicated
push: pushing push
cock: cocking cock
elf: elf elves
crisis: crises crisis
stir: stirring stir
rub: rub rubbing
synopsis: synopses synopsis
examine: examine examining
codex: codices codex
stoma: stomata stoma
aesthetic: aesthetic aesthetics
hind: hind hinder
conceal: conceal concealed
tile: tile tiled
press: press pressing
overlay: overlaid overlay
listen: listen listening
rib: ribbed rib
frost: frosted frost
target: targeted target
acknowledge: acknowledged acknowledge
bust: busted bust
extract: extracted extract
westward: westward westwards
vibrate: vibrating vibrate
rank: ranked rank
forest: forested forest
explain: explaining explain
gin: gin gan
cord: cord corded
lick: licking lick
spirit: spirit spirited
bat: bats bat
alternate: alternate alternating
leaf: leaves leaf
gymnasium: gymnasia gymnasium
cycle: cycle cycling
plow: plowing plow
check: checked check
tackle: tackling tackle
school: school schooling
pronounce: pronounce pronounced
scaffold: scaffolding scaffold
occult: occulting occult
lacuna: lacunae lacuna
vertex: vertices vertex
ascend: ascending ascend
roar: roar roaring
equilibrium: equilibria equilibrium
narrow: narrower narrow
leech: leech leeches
sky: skies sky
condition: condition conditioned
beau: beaux beau
seem: seeming seem
withhold: withheld withhold
glide: glide gliding
radius: radius radii
compromise: compromising compromise
issue: issuing issue
anchor: anchored anchor
trick: tricking trick
welcome: welcome welcoming
turbine: turbines turbine
brown: brown browning
distract: distract distracted
race: racing race
assess: assessed assess
increase: increase increasing
return: return returned
speed: speeding speed
adopt: adopted adopt
experience: experience experienced
repress: repress repressed
vein: vein veined
temper: temper tempered
project: projecting project
explore: explore exploring
less: less lesser
inhabit: inhabited inhabit
concert: concerted concert
revere: revere revered
disappear: disappear disappearing
feather: feathered feather
shock: shocking shock
intercept: intercept intercepting
spice: spiced spice
amaze: amazing amazed
short: short shorter
trip: tripping trip
disconnect: disconnect disconnected
steer: steer steering
spell: spell spelling
thread: thread threaded
mess: mess messing
apply: applied apply
nail: nailing nail
old: old older
carve: carve carving
oversee: overseen oversee
mill: mill milled
neck: necking neck
session: sessions session
happen: happen happening
knock: knock knocking
nourish: nourishing nourish
wreck: wreck wrecking
pale: pale paler
perish: perish perished
criterion: criteria criterion
entertain: entertaining entertain
farm: farm farming
spout: spouting spout
polish: polished polish
dash: dashed dash
sort: sort sorted
abut: abutting abut
northeastward: northeastward northeastwards
diffuse: diffuse diffused
nap: nap napping
ban: ban banning
beard: beard bearded
direct: direct directed
flock: flocking flock
cost: cost costing
serve: serving serve
checker: checkers checker
synthesis: synthesis syntheses
bitter: bitters bitter
atrium: atria atrium
deform: deform deformed
license: licensed license
southward: southwards southward
abandon: abandoned abandon
phylum: phylum phyla
insert: inserted insert
disguise: disguise disguising
wrinkle: wrinkled wrinkle
bee: bee bees
flash: flashing flash
row: rowing row
infect: infect infected
seta: setae seta
fuse: fused fuse
dissolve: dissolve dissolving
price: price priced
resign: resigned resign
polytechnic: polytechnics polytechnic
gas: gas gassing
smash: smash smashing
crown: crown crowned
level: leveling level
figure: figure figured
peel: peeled peel
beak: beak beaked
serum: serum sera
do: done dos
chop: chop chopping
mediate: mediating mediate
metamorphosis: metamorphoses metamorphosis
herbarium: herbarium herbaria
correspond: corresponding correspond
underlay: underlaid underlay
specie: specie species
depart: departed depart
spread: spreading spread
dream: dreamt dream
park: park parking
result: result resulting
wrestle: wrestling wrestle
triple: triple tripling
way: way ways
grill: grilled grill
terrace: terrace terracing
believe: believing believe
tend: tending tend
instruct: instruct instructed
dilute: dilute diluted
dominate: dominate dominated
acoustic: acoustic acoustics
corona: corona coronae
decrease: decrease decreasing
owe: owe owing
unify: unify unified
approach: approach approaching
suspend: suspended suspend
plastic: plastics plastic
treat: treating treat
dot: dot dotted
fin: fin finned
dissipate: dissipated dissipate
flourish: flourish flourishing
repel: repelling repel
tame: tame tamer
spade: spading spade
visit: visiting visit
